Hobby,Subtrait,Weight
축구(하기),드리블,0.9
축구(하기),슈팅,0.8
축구(하기),패싱,0.7
축구(하기),헤딩,0.6
축구(하기),수비,0.5
축구(보기),경기분석,0.9
축구(보기),선수팬,0.8
축구(보기),응원,0.7
축구(보기),팀추종,0.6
축구(보기),해외리그 관람,0.5
야구(하기),투구,0.9
야구(하기),타격,0.8
야구(하기),수비,0.7
야구(하기),베이스런닝,0.6
야구(하기),전략수행,0.5
야구(보기),경기분석,0.9
야구(보기),선수팬,0.8
야구(보기),응원,0.7
야구(보기),팀추종,0.6
야구(보기),해외리그 관람,0.5
농구,드리블,0.9
농구,슈팅,0.8
농구,리바운드,0.7
농구,수비,0.6
농구,전략수행,0.5
배드민턴,서브,0.9
배드민턴,스매시,0.8
배드민턴,드롭샷,0.7
배드민턴,풋워크,0.6
배드민턴,전략수행,0.5
탁구,서브,0.9
탁구,스매시,0.8
탁구,드롭샷,0.7
탁구,풋워크,0.6
탁구,전략수행,0.5
테니스,서브,0.9
테니스,포핸드,0.8
테니스,백핸드,0.7
테니스,풋워크,0.6
테니스,전략수행,0.5
골프(스크린 골프 포함),스윙,0.9
골프(스크린 골프 포함),퍼팅,0.8
골프(스크린 골프 포함),샷선택,0.7
골프(스크린 골프 포함),코스분석,0.6
골프(스크린 골프 포함),전략수행,0.5
등산,코스선택,0.9
등산,기상조건 확인,0.8
등산,등반,0.7
등산,풍경 감상,0.6
등산,산악사진,0.5
헬스/피트니스,근력운동,0.9
헬스/피트니스,유산소운동,0.8
헬스/피트니스,스트레칭,0.7
헬스/피트니스,식단관리,0.6
헬스/피트니스,복합운동,0.5
요가,아사나,0.9
요가,흐름,0.8
요가,명상,0.7
요가,균형감각,0.6
요가,호흡조절,0.5
필라테스,코어운동,0.9
필라테스,유연성,0.8
필라테스,균형감각,0.7
필라테스,근력운동,0.6
필라테스,호흡조절,0.5
수영,자유형,0.9
수영,평영,0.8
수영,접영,0.7
수영,배영,0.6
수영,호흡조절,0.5
자전거 타기(사이클링),코스선택,0.9
자전거 타기(사이클링),기상조건 확인,0.8
자전거 타기(사이클링),기어조절,0.7
자전거 타기(사이클링),풍경 감상,0.6
자전거 타기(사이클링),자전거 유지보수,0.5
런닝/마라톤,코스선택,0.9
런닝/마라톤,기상조건 확인,0.8
걷기/산책,힐링,0.9
걷기/산책,체력 강화,0.8
걷기/산책,명상,0.7
걷기/산책,자연 감상,0.6
걷기/산책,사색,0.5
복싱/격투기,체력 향상,0.9
복싱/격투기,스트레스 해소,0.8
복싱/격투기,자기방어,0.7
복싱/격투기,경기력 향상,0.6
복싱/격투기,근육 키우기,0.5
검도,명상,0.9
검도,체력 향상,0.8
검도,자기 수련,0.7
검도,무예 배우기,0.6
검도,규율 익히기,0.5
태권도,체력 향상,0.9
태권도,자기방어,0.8
태권도,스트레스 해소,0.7
태권도,근육 키우기,0.6
태권도,규율 익히기,0.5
풋살,팀워크,0.9
풋살,체력 향상,0.8
풋살,스트레스 해소,0.7
풋살,경기력 향상,0.6
풋살,운동능력 향상,0.5
배구,팀워크,0.9
배구,체력 향상,0.8
배구,스트레스 해소,0.7
배구,경기력 향상,0.6
배구,운동능력 향상,0.5
스케이트보드/롱보드,밸런스 기술,0.9
스케이트보드/롱보드,체력 향상,0.8
스케이트보드/롱보드,스트레스 해소,0.7
스케이트보드/롱보드,운동능력 향상,0.6
스케이트보드/롱보드,자유로운 라이딩 즐기기,0.5
인라인 스케이트,밸런스 기술,0.9
인라인 스케이트,체력 향상,0.8
인라인 스케이트,스트레스 해소,0.7
인라인 스케이트,운동능력 향상,0.6
인라인 스케이트,자유로운 라이딩 즐기기,0.5
그림 그리기,창의력 향상,0.9
그림 그리기,표현력 향상,0.8
그림 그리기,관찰력 향상,0.7
그림 그리기,명상,0.6
그림 그리기,감성 발달,0.5
웹툰 그리기,스토리텔링,0.9
웹툰 그리기,창의력 향상,0.8
웹툰 그리기,표현력 향상,0.7
웹툰 그리기,관찰력 향상,0.6
웹툰 그리기,감성 발달,0.5
캘리그라피,창의력 향상,0.9
캘리그라피,표현력 향상,0.8
캘리그라피,세심함 키우기,0.7
캘리그라피,명상,0.6
캘리그라피,감성 발달,0.5
사진 촬영,창의력 향상,0.9
사진 촬영,관찰력 향상,0.8
사진 촬영,표현력 향상,0.7
사진 촬영,기술 익히기,0.6
사진 촬영,디지털 미디어 이해,0.5
영상 촬영 및 편집,창의력 향상,0.9
영상 촬영 및 편집,표현력 향상,0.8
영상 촬영 및 편집,기술 익히기,0.7
영상 촬영 및 편집,디지털 미디어 이해,0.6
영상 촬영 및 편집,스토리텔링,0.5
목공예,목재 조각,0.9
목공예,가구 제작,0.8
목공예,나무 장난감 만들기,0.7
목공예,나무 공예품 만들기,0.6
목공예,목재 가공,0.5
DIY,가구 제작,0.9
DIY,소품 만들기,0.8
DIY,재활용 아이템 만들기,0.7
DIY,인테리어 아이템 제작,0.6
DIY,집 수리,0.5
프라모델/모형 조립,피규어 만들기,0.9
프라모델/모형 조립,자동차 모형 만들기,0.8
프라모델/모형 조립,비행기 모형 만들기,0.7
